1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
32, none, minecraft:the_void, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
33, none, minecraft:the_void, AMBIENT, alexsmobs:fly, 10, 2, 3
34, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
35, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
36, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
37, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
38, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
39, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
40, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
41, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
42, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
43, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
44, plains, minecraft:plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
45, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
46, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
47, plains, minecraft:plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
48, plains, minecraft:plains, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
49, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
50, plains, minecraft:plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
51, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 40, 1, 1
52, plains, minecraft:plains, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
53, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
54, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
55, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 2, 4
56, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
57, plains, minecraft:plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
58, plains, minecraft:plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
59, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
60, plains, minecraft:plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
61, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
62, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
63, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
64, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
65, plains, minecraft:plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
66, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
67, plains, minecraft:plains, MONSTER, alexsmobs:farseer, 30, 1, 1
68, plains, minecraft:plains, MONSTER, alexsmobs:murmur, 10, 1, 1
69, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 12, 1, 1
70, plains, minecraft:plains, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
71, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
72, plains, minecraft:plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
73, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
74, plains, minecraft:plains, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
75, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
76, plains, minecraft:plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
77, plains, minecraft:plains, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
78, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
79, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
80, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
81, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
82, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
83, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
84, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
85, plains, minecraft:plains, CREATURE, crittersandcompanions:ferret, 10, 2, 3
86, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
87, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
88, plains, minecraft:plains, CREATURE, alexsmobs:bison, 10, 6, 10
89, plains, minecraft:plains, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
90, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
91, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
92, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
93, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
94, plains, minecraft:plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
95, plains, minecraft:plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
96, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
97, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
98, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
99, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
100, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
101, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
102, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
103, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
104, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
105, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
106, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
107, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
108, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
109, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
110, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
111, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
112, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 40, 1, 1
113, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
114, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
115, none, minecraft:sunflower_plains, MONSTER, quark:stoneling, 80, 1, 1
116, none, minecraft:sunflower_plains, MONSTER, quark:toretoise, 80, 2, 4
117, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
118, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
119, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
120, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
121, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
122, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
123, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
124, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
125, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
126, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
127, none, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
128, none, minecraft:sunflower_plains, MONSTER, alexsmobs:farseer, 30, 1, 1
129, none, minecraft:sunflower_plains, MONSTER, alexsmobs:murmur, 10, 1, 1
130, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 12, 1, 1
131, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
132, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
133, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
134, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
135, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
136, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
137, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
138, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
139, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
140, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
141, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
142, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
143, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
144, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
145, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
146, none, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 10, 2, 3
147, none, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
148, none, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
149, none, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
150, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 10, 6, 10
151, none, minecraft:sunflower_plains, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
152, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
153, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
154, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
155, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
156, none, minecraft:sunflower_plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
157, none, minecraft:sunflower_plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
158, none, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
159, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
160, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
161, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
162, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
163, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper, 80, 4, 4
164, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
165, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
166, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
167, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
168, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
169, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
170, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
171, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
172, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
173, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
174, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
175, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 40, 1, 1
176, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
177, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
178, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 80, 1, 1
179, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 80, 2, 4
180, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
181, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
182, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
183, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
184, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
185, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
186, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
187, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
188, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
189, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
190, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
191, icy, minecraft:snowy_plains, MONSTER, alexsmobs:farseer, 30, 1, 1
192, icy, minecraft:snowy_plains, MONSTER, alexsmobs:murmur, 10, 1, 1
193, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 12, 1, 1
194, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
195, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
196, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
197, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
198, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
199, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
200, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
201, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
202, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
203, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
204, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
205, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 10, 3, 4
206, icy, minecraft:snowy_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
207, icy, minecraft:snowy_plains, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
208, icy, minecraft:snowy_plains, CREATURE, alexsmobs:crow, 10, 3, 5
209, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
210, icy, minecraft:snowy_plains, CREATURE, alexsmobs:bison, 10, 6, 10
211, icy, minecraft:snowy_plains, CREATURE, crittersandcompanions:shima_enaga, 10, 2, 3
212, icy, minecraft:snowy_plains, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
213, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
214, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
215, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
216, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
217, icy, minecraft:snowy_plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
218, icy, minecraft:snowy_plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
219, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
220, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
221, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
222, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
223, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
224, none, minecraft:ice_spikes, MONSTER, minecraft:creeper, 80, 4, 4
225, none, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
226, none, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
227, none, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
228, none, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
229, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
230, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
231, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
232, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
233, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
234, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
235, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
236, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_fisherman, 40, 1, 1
237, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
238, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
239, none, minecraft:ice_spikes, MONSTER, quark:stoneling, 80, 1, 1
240, none, minecraft:ice_spikes, MONSTER, quark:toretoise, 80, 2, 4
241, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
242, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
243, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
244, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
245, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
246, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
247, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
248, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
249, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
250, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
251, none, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 10, 1, 1
252, none, minecraft:ice_spikes, MONSTER, alexsmobs:farseer, 30, 1, 1
253, none, minecraft:ice_spikes, MONSTER, alexsmobs:murmur, 10, 1, 1
254, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_bruiser, 12, 1, 1
255, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
256, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
257, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
258, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
259, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
260, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
261, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
262, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
263, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
264, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
265, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
266, none, minecraft:ice_spikes, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
267, none, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 20, 5, 7
268, none, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 18, 3, 5
269, none, minecraft:ice_spikes, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
270, none, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
271, none, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 10, 2, 3
272, none, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 10, 5, 5
273, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
274, none, minecraft:ice_spikes, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
275, none, minecraft:ice_spikes, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
276, none, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
277, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
278, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
279, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
280, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
281, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
282, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
283, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
284, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
285, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
286, desert, minecraft:desert, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
287, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
288, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
289, desert, minecraft:desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
290, desert, minecraft:desert, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
291, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
292, desert, minecraft:desert, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
293, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_fisherman, 40, 1, 1
294, desert, minecraft:desert, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
295, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
296, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
297, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 2, 4
298, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
299, desert, minecraft:desert, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
300, desert, minecraft:desert, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
301, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
302, desert, minecraft:desert, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
